10.97.8.89 | SUCCESS | rc=0 >>
    id     | sid  |  hid   | day | score | maxscore | lsn | fightn | winn | losen |         name          
   1574009 |    4 | 620139 |   7 |  5225 |     5225 |   2 |      0 |    2 |     0 | [s3908]DELICIOUS
 527990005 |    5 | 620139 |   7 |  5205 |     5205 |   2 |      0 |    2 |     0 | 兄弟齐心
 192411291 |    5 | 620139 |   7 |  5205 |     5205 |   2 |      0 |    2 |     0 | 兄弟齐心
  83811291 |    5 | 620139 |   7 |  5205 |     5205 |   2 |      2 |    2 |     0 | 兄弟齐心
 192561291 |    5 | 620139 |   7 |  5205 |     5205 |   2 |      0 |    2 |     0 | 兄弟齐心
 192771291 |    5 | 620139 |   7 |  5205 |     5205 |   2 |      0 |    2 |     0 | 兄弟齐心
  83871291 |    5 | 620139 |   7 |  5205 |     5205 |   2 |      0 |    2 |     0 | 兄弟齐心
   1866789 | 6694 | 620139 |   7 |  5200 |     5200 |   0 |      0 |    0 |    10 | 兄弟齐心
 530310005 |    5 | 620139 |   7 |  5195 |     5235 |   0 |      0 |    1 |     6 | 兄弟齐心
  74070762 |  631 | 620139 |   7 |  5180 |     5180 |   0 |      0 |    0 |    10 | 兄弟齐心
   4555587 | 5219 | 620139 |   7 |  5170 |     5250 |   0 |      0 |    2 |    16 | [s5514]FukOuttaHere
    602527 | 2275 | 620139 |   7 |  5127 |     5140 |   0 |      0 |    1 |     6 | [s2522]CrusedAngels
 149543356 |    5 | 620139 |   7 |  5125 |     5125 |   0 |      0 |    1 |     4 | [s3588]tHeLaYzZzs
 210830796 |  385 | 620139 |   7 |  5120 |     5160 |   0 |      0 |    1 |     9 | [s2132]FenixEterno
 191122275 | 2275 | 620139 |   7 |  5114 |     5114 |   1 |      0 |    1 |     3 | 兄弟齐心
   3825867 | 5867 | 620139 |   7 |  5114 |     5114 |   1 |      3 |    1 |     1 | [s5856]VENDETA
    440512 |  385 | 620139 |   7 |  5112 |     5112 |   1 |      0 |    1 |     0 | 兄弟齐心
    354669 | 4551 | 620139 |   7 |  5112 |     5112 |   1 |      0 |    1 |     0 | [s4585]kimetsu
    735831 | 5219 | 620139 |   7 |  5110 |     5130 |   0 |      0 |    1 |     1 | 兄弟齐心
    964819 | 4551 | 620139 |   7 |  5110 |     5110 |   0 |      0 |    0 |    10 | [s4673]lords
 569390007 |    7 | 620139 |   7 |  5104 |     5104 |   0 |      8 |    1 |     5 | 兄弟齐心
   1856594 | 5867 | 620139 |   7 |  5101 |     5101 |   1 |      0 |    1 |     0 | 兄弟齐心
  83851291 |    5 | 620139 |   7 |  5100 |     5100 |   1 |      0 |    1 |     0 | 兄弟齐心
 114140948 |  631 | 620139 |   7 |  5100 |     5100 |   1 |      0 |    1 |     0 | 兄弟齐心
 527980005 |    5 | 620139 |   7 |  5100 |     5100 |   1 |      0 |    1 |     0 | 兄弟齐心
 192631291 |    5 | 620139 |   7 |  5100 |     5100 |   1 |      0 |    1 |     0 | 兄弟齐心
 192391291 |    5 | 620139 |   7 |  5100 |     5100 |   1 |      0 |    1 |     0 | 兄弟齐心
